Year;Month;Day;Incident code;Location start;Location end;Type of incident;Number of terrorists in attack force;Number of nationalities;First nationality of terrorists;Second nationality of terrorists;Third nationality of terrorists;Number of victims;Number of nationalities of victims;First victim's nationality;Second victim's nationality;Third victim's nationality;Number of US victims;Type of US victims;Type of immediate victims;Total individuals wounded;Terrorists wounded;Total number of individuals killed;Terrorists killed;Type of Weapon used;Terrorist logistical success;Number of Hostages;Escaped Hostages;Target of Demands 1;Target of Demands 2;Target of Demands 3;Number of Entities;Demands on Host Nation;Media Announcement;Political Change;Ransom demanded;Release Prisoners;Safe haven destination;Terrorist Negotiation Behavior;Sequential Release of Hostages;Passed Deadlines;Threats Carried Out;Terrorist Negotiation Success;Target Negotiator;Amount of Ransom Paid;Number of Prisoners Released;First hostage's fate;Second hostage's fate;Duration in Hours;Duration in Days;
1979;11;4;1;630;630;2;99;1;630;999;999;100;5;2;840;732;95;1;2;0;0;0;0;9;6;104;0;2;998;998;1;2;0;1;0;0;2;1;8;9;9;9;2;0;998;1;98;96;444;
1979;11;5;1;630;630;2;99;1;630;999;999;27;1;200;999;999;0;8;2;0;0;0;0;9;6;27;0;999;999;999;9;9;0;9;0;0;2;9;0;9;9;9;9;0;998;99;99;99;998;
1979;11;9;2;2;2;1;5;2;630;625;999;1;1;2;999;999;1;3;1;0;0;0;0;4;2;1;0;998;998;998;8;2;0;2;0;0;2;8;0;9;8;8;8;0;998;15;98;0;998;
1979;11;20;1;670;670;2;99;9;670;680;770;999;99;670;999;999;0;8;7;999;99;999;99;4;5;9999;999;998;998;998;8;2;0;2;0;0;2;8;0;9;9;9;8;0;998;12;14;96;13;
1979;11;28;2;92;92;1;99;1;92;999;999;1;1;560;999;999;0;8;2;0;0;0;0;4;6;1;0;92;8;998;2;1;1;2;0;998;2;2;0;1;1;1;1;9999;998;99;98;99;999;
1979;12;12;2;92;92;2;99;1;92;999;999;13;2;92;2;999;1;5;7;0;0;0;0;9;6;13;0;92;998;998;1;1;0;1;0;0;2;1;1;9;9;1;1;0;998;2;98;96;9;
1980;1;2;2;750;750;2;90;1;700;999;999;4;1;700;999;999;0;8;2;0;0;0;0;9;6;4;0;998;998;998;9;9;0;2;0;0;9;8;0;9;9;9;9;0;998;99;99;6;998;
1980;1;5;1;100;100;1;99;1;100;999;999;2;1;200;999;999;0;8;7;0;0;0;0;9;6;2;0;8;998;998;1;2;0;2;50;0;2;1;0;9;9;9;5;9999;998;99;99;96;216;
1980;1;6;1;630;630;2;40;1;700;999;999;13;1;700;999;999;0;8;2;0;0;0;0;9;6;13;0;998;998;998;9;9;0;2;0;0;9;8;0;9;9;9;9;0;998;99;99;6;998;
1980;1;9;1;205;205;1;99;1;204;999;999;1;1;205;999;999;0;8;7;0;0;0;0;9;6;3;0;8;999;999;9;2;0;2;20;0;2;1;0;9;9;1;5;6;998;2;98;24;1;
1980;1;11;1;92;92;2;50;1;92;999;999;998;3;95;94;92;0;8;2;0;0;0;0;9;6;9999;0;92;998;998;1;1;0;1;0;15;2;4;1;9;9;1;3;0;7;2;98;99;3;
1980;1;14;2;325;325;9;1;1;616;999;999;89;99;325;999;999;0;8;7;0;0;0;0;3;5;89;0;325;616;12;3;1;0;9;9998;25;1;2;0;9;9;3;1;1111;111;1;98;24;1;
1980;1;18;1;660;660;9;1;1;660;999;999;999;99;999;999;999;0;8;7;0;0;0;0;9;5;9999;0;660;12;998;2;1;0;1;0;0;2;2;0;9;9;3;1;0;998;1;98;99;998;
1980;1;25;1;2;40;9;1;1;2;999;999;68;99;2;999;999;999;5;7;0;0;0;0;3;5;68;64;40;12;998;2;2;0;2;0;999;1;2;1;9;9;1;1;9999;998;1;16;99;999;
1980;1;28;1;645;999;9;1;1;660;999;999;999;99;999;999;999;0;8;7;0;0;0;0;9;4;137;0;12;999;999;9;9;5;2;0;0;2;2;0;9;9;2;9;0;998;2;98;99;998;
1980;1;30;1;265;265;9;2;1;265;998;998;999;1;265;998;998;0;8;7;0;0;0;0;9;5;0;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;8;98;99;999;
1980;1;31;2;660;660;9;3;1;660;999;999;1;1;220;999;999;0;8;7;0;0;0;0;9;2;9999;999;998;998;998;9;9;9;2;0;0;2;8;0;9;9;8;8;0;998;15;98;99;998;
1980;1;31;3;90;90;2;30;1;90;999;999;10;2;230;90;999;0;8;2;2;1;39;29;5;5;9999;0;230;998;998;1;2;0;1;0;0;2;8;0;9;9;3;2;0;998;11;14;99;998;
1980;2;5;1;92;92;2;15;1;92;999;999;20;99;230;999;999;0;8;2;0;0;0;0;4;6;10;0;92;230;996;4;1;0;1;0;998;2;4;4;9;9;1;3;0;28;2;98;96;13;
1980;2;13;1;92;92;2;50;1;92;999;999;1;1;95;999;999;0;8;2;0;0;0;0;9;6;9999;0;92;998;998;1;1;5;2;0;23;2;2;0;9;9;1;1;0;6;2;98;99;1;
1980;2;27;1;100;100;2;16;1;100;998;998;54;15;225;2;100;1;1;2;10;1;2;1;5;5;54;15;100;2;90;9;1;1;1;5000;311;2;5;8;8;0;3;7;0;9;2;10;96;59;
1980;3;10;1;663;660;9;1;1;660;999;999;61;99;999;999;999;0;8;7;0;0;0;0;1;9;61;0;660;12;998;2;2;5;2;0;0;2;2;0;9;9;2;9;0;0;2;98;99;998;
1980;3;11;1;92;92;1;99;9;999;999;999;2;2;93;70;999;0;8;7;0;0;0;0;9;6;2;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;99;98;99;999;
1980;3;14;2;92;91;1;99;9;999;999;999;1;1;95;999;999;0;8;7;0;0;0;0;9;9;1;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;1;98;99;999;
1980;3;27;1;205;205;2;1;1;204;999;999;3;1;205;999;999;0;8;9;0;0;0;0;5;2;3;0;205;998;998;1;9;0;2;0;0;9;9;0;9;9;9;1;0;998;1;98;24;1;
